Gene	PL_Un1_IN	PL_Un2_IN	PL_Un3_IN	PL_Un1_FL	PL_Un2_FL	PL_Un3_FL	PL_Az1_IN	PL_Az2_IN	PL_Az3_IN	PL_Az1_FL	PL_Az2_FL	PL_Az3_FL	PL_log2OR	PL_rawpval	PL_Padj
PA14_29590	0	0	0	180	176	245	0	0	0	110	122	98	0.841874482907492	0.766812328795833	1
PA14_52460	69	39	41	17	6	22	57	53	58	14	5	39	-0.0658978008726832	0.942135073104537	1
PA14_25660	124	94	62	146	122	112	72	79	91	139	127	104	-0.174243157816821	0.315602063186641	1
PA14_45840,PA14_45850	93	60	70	0	0	0	143	170	418	0	0	0	1.46473026611013	0.395723581707234	1
PA14_26060	10	5	1	2	0	1	2	2	0	0	0	0	-0.994566113949372	0.826534907996444	1
PA14_72470	2477	2624	566	0	0	0	2655	3036	10600	0	0	0	1.0067199385408	0.628451009427764	1
PA14_59230	31	27	20	9	3	3	30	22	82	15	5	63	-1.40341608027465	0.00606056960878159	0.0484675327983179
PA14_04950	0	0	0	0	0	0	11	7	2	0	0	0	2.34395440121736	0.276986641795053	1
PA14_15000	0	0	0	12	19	2	0	0	0	2	1	5	1.33839340808786	0.503418462691078	1
PA14_67180,PA14_67190,PA14_67200,PA14_67210,PA14_67220,PA14_67230	48	37	30	0	0	0	55	41	23	0	0	0	-0.0104818724058207	0.993016179076123	1
PA14_73410	52	33	20	240	112	337	67	56	87	229	207	300	0.86604119738184	3.83479217941989e-06	6.53751696695115e-05
PA14_37190	0	0	0	13	8	5	0	0	0	6	5	4	0.709504412949295	0.913696809518876	1
PA14_18690	10	7	2	8	5	5	7	3	5	4	2	0	1.00705103002024	0.314546450605839	1
PA14_09070	203	219	192	1486	1361	1288	162	125	342	2634	2139	2516	-0.821169074932497	3.13566941686983e-21	1.98383351773965e-19
PA14_69940	18	3	4	0	0	0	7	10	2	0	0	0	-0.216864224400868	0.859785431917152	1
PA14_14540,PA14_14550	0	0	0	182	107	174	0	0	0	106	102	110	0.498834143367777	0.993643896784389	1
PA14_72970	19	28	17	8	7	21	18	35	98	14	17	29	0.451238154224796	0.253429790978875	0.953810892056423
PA14_51560	21	12	17	0	0	0	10	17	18	0	0	0	-0.148466165576323	0.902003568347042	1
PA14_28620	16	11	6	0	0	0	4	4	5	0	0	0	-1.19527971599396	0.622831657092873	1
PA14_53150,PA14_53160,PA14_53180	81	83	64	9	8	8	98	77	71	22	12	27	-1.14134307088543	0.0025675078857305	0.0232053807957928
PA14_32530,PA14_32540	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1
PA14_66400	0	0	0	24	15	10	7	4	32	21	21	10	3.28192224981235	4.02470948775021e-05	0.000578704439981053
PA14_27710	0	0	0	0	6	4	0	0	0	17	20	34	-2.72845409431069	0.0724867471024003	0.387913099625063
PA14_29970	0	0	1	0	0	0	4	5	5	0	0	0	2.2129937233342	0.348979991628254	1
PA14_24980	37	38	17	322	224	302	26	42	665	166	214	170	2.82087598301541	3.49999169638728e-82	6.22779772475912e-80
PA14_51340	4	6	2	0	0	0	2	5	27	0	0	0	0.553214873979859	0.635983514750879	1
PA14_28400	97	72	62	493	394	1516	75	51	99	383	650	3207	-0.482228143323958	0.000892005237111962	0.00894203841569632
PA14_07560	62	58	37	524	298	649	104	53	74	1098	1022	931	-0.514375994430408	0.000813216808823932	0.00821002927206289
PA14_23520,PA14_23530	13	3	11	0	0	0	8	0	5	0	0	0	-1.08123984796018	0.728971198681693	1
PA14_56090,PA14_56100,PA14_56110,PA14_56130,PA14_56140	102	69	87	0	0	0	61	87	149	0	0	0	0.122560423275833	0.915850567528325	1
PA14_35820	76	62	51	0	0	0	40	36	15	0	0	0	-1.13107892415422	0.597184696147933	1
PA14_72070	0	0	0	127	127	121	0	0	0	60	61	114	0.725360662225711	0.8432590135202	1
PA14_49610,PA14_49620	17	9	7	0	0	0	10	14	0	0	0	0	-0.712197689017264	0.897245264861728	1
PA14_28390	26	16	13	0	0	0	26	26	18	0	0	0	0.384830664716738	0.75117172589414	1
PA14_38930,PA14_38950	2	0	1	2	3	1	54	55	24	25	40	47	0.998279969784988	0.443975285623476	1
PA14_44500	45	48	17	7	9	6	33	39	15	16	6	32	-1.33736409968691	0.00266838145272963	0.0239649274319283
PA14_20840	0	0	0	14	23	4	0	0	0	6	5	67	0.103181741987919	0.912989975170296	1
PA14_65230	452	357	261	512	480	358	419	445	199	428	456	469	0.00541875661936342	0.971527794416999	1
PA14_27390	11	7	2	96	53	47	3	2	5	19	24	35	0.485743811171153	0.58178683423028	1
PA14_47230	0	0	0	1	1	1	0	0	0	4	10	10	-2.83007499855769	0.146382317123236	0.65525340845643
PA14_48040	111	79	55	51	35	22	61	54	287	20	22	8	1.02901899569012	8.79257270991496e-05	0.00115356933203354
PA14_14250	0	2	8	0	0	0	1	0	6	0	0	0	-0.47916783669856	0.762112535556243	1
PA14_23030	7	5	3	180	124	279	0	1	0	117	148	251	-2.11610784408829	0.0236303799290639	0.16018021823344
PA14_27000	73	68	42	5	5	8	56	58	41	3	2	2	1.13706048145699	0.120388999212786	0.566524761584796
PA14_68230	46	56	63	0	0	0	101	80	93	0	0	0	0.729749944508308	0.843348497854818	1
PA14_09890	0	0	0	20	24	35	0	0	0	16	15	9	0.930390014331542	0.730091684985519	1
PA14_32270	16	6	7	9	11	15	2	9	1	8	9	2	-0.546827371834385	0.540855471811525	1
PA14_14440	16	8	5	26	25	28	7	1	2	42	30	40	-2.13721072590567	0.000290104771101247	0.003303713133301
PA14_14820,PA14_14830,PA14_14850,PA14_14860,PA14_14880,PA14_14890,PA14_14900,PA14_14910	1196	968	849	1664	2106	1022	1412	1573	1832	1473	1909	4065	0.161711656379531	0.000184759961570262	0.0022008853999604
PA14_44290	0	0	0	34	27	56	0	0	0	9	11	8	1.93452889043325	0.231904529427796	0.912003827704405
PA14_24110,PA14_24120	6188	2439	5611	203058	86856	236973	5640	3807	477	168835	148101	12435	0.0946093196838726	6.50218104329563e-06	0.000106389134656682
PA14_63850	2	9	1	0	0	0	5	2	1	0	0	0	-0.279540784923142	0.84116190057914	1
PA14_57920	27	33	8	0	0	0	283	284	61	0	0	0	3.13373714122	0.0141487126620037	0.103021444881648
PA14_27620	503	411	378	24759	14320	26277	620	505	477	20052	17132	2427	1.06821862952047	3.21269581259624e-103	6.09769665230766e-101
PA14_39060	13	2	7	0	0	0	4	4	5	0	0	0	-0.425792127329848	0.740019429054023	1
PA14_24140,PA14_24150	31	32	20	0	0	0	21	27	79	0	0	0	0.315536521638362	0.780011495091931	1
PA14_14040	14	16	7	106	53	88	18	16	29	82	90	85	0.659084362803103	0.0485246371786204	0.284844622778417
PA14_24740,PA14_24760,PA14_24770	7	3	2	11	8	19	1	2	1	23	5	7	-1.51164064242243	0.105742934386199	0.514615614012835
PA14_21540,PA14_21550,PA14_21560	3	5	3	5	15	2	4	3	3	9	10	37	-1.10472797632824	0.193120068394671	0.799146562092483
PA14_54610	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1
PA14_11010	0	0	0	3	12	15	0	0	0	6	12	24	-0.533505400509369	0.67301893724024	1
PA14_29620	9	6	6	0	0	0	0	1	0	0	0	0	-2.76938707185858	0.16761754521864	0.721291983750061
PA14_35710,PA14_35720	124	88	91	373	256	221	95	59	67	204	221	89	0.322596016641037	0.0370422010703061	0.231914391814051
PA14_03860	77	58	30	76	49	17	23	27	13	32	27	2	-0.159188717984367	0.689848726183456	1
PA14_47520	3	2	4	4	5	3	2	1	1	1	3	0	0.299842692555883	0.812072751888721	1
PA14_31470	1	0	1	0	0	0	0	1	1	0	0	0	0	1	1
PA14_55590,PA14_55600,PA14_55610	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1
PA14_44180	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
PA14_12300,PA14_12310,PA14_12330	94	123	64	36	35	36	59	84	51	40	57	44	-0.92903599250244	6.78902575129507e-05	0.000929247899708513
PA14_08210,PA14_08220,PA14_08230,PA14_08240,PA14_08250,PA14_08260,PA14_08270,PA14_08280,PA14_08300	35	37	30	4	1	1	18	31	13	3	2	2	-1.0939010847482	0.314880993918212	1
PA14_20440	24	14	6	0	0	0	5	16	1	0	0	0	-1.28205100936261	0.560962450757639	1
PA14_63450	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PA14_57080	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PA14_60150	0	0	0	17696	8916	11727	0	0	0	27360	22437	12416	-0.659785234001484	0.882240329152337	1
PA14_31300	35	27	5	25	32	19	8	19	5	15	12	45	-0.311354042802718	0.547776477556322	1
PA14_60180	0	0	0	11022	3769	10520	0	0	0	7500	6166	744	0.805907051979326	0.760189933288416	1
PA14_31650	0	0	0	74	74	43	0	0	0	72	112	114	-0.628203386409319	0.908114831110623	1
PA14_49800	0	0	0	0	0	0	15	14	26	0	0	0	4.10038182101995	0.0073244048051707	0.0571303574803315
PA14_38420	37	16	20	0	0	0	11	17	17	0	0	0	-0.582893367685899	0.952671008511045	1
PA14_68300	3	2	2	0	0	0	2	1	3	0	0	0	-0.285402218862248	0.853697960207413	1
PA14_55400	23	23	16	0	0	0	16	16	3	0	0	0	-1.02874705404556	0.679147892236776	1
PA14_70480,PA14_70490	37	21	59	5	5	4	38	34	84	15	10	11	-0.982217183617049	0.0623563980554759	0.348095422086157
PA14_43110,PA14_43130	26	16	14	32	41	24	5	6	0	8	20	37	-1.29751318934854	0.0126946279550667	0.0931484685259662
PA14_05960	651	478	246	420	239	1238	581	339	396	657	657	1321	-0.618758826587544	3.06846983144101e-17	1.45598893501876e-15
PA14_23850	104	128	96	62	40	37	102	105	68	47	26	16	0.438874664820512	0.0694928716642527	0.376133470775908
PA14_65850	140	191	90	229	174	183	93	97	232	145	180	193	0.127299852106698	0.359066238218237	1
PA14_45100	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1
PA14_31780	0	0	0	13	8	4	0	0	0	3	4	16	0.322810207443666	0.776288277891765	1
PA14_60800	12	14	6	23	12	76	22	18	22	23	33	43	0.871773833653887	0.02190540213864	0.151738880507806
PA14_06230	31	21	7	0	0	0	5	9	1	0	0	0	-2.08250071791493	0.23652245476111	0.91925005257497
PA14_37590,PA14_37610	7	6	2	14	15	30	3	6	0	22	19	4	-0.715245397542615	0.383537162300212	1
PA14_34170	274	272	40	0	0	0	67	119	44	0	0	0	-0.953936613168994	0.687756998479061	1
PA14_71720	8	8	4	107	88	140	20	22	41	53	61	65	2.90678837401511	3.32264695497707e-17	1.55075014439668e-15
PA14_35170	2	1	2	0	0	0	0	1	5	0	0	0	0.205225138191578	0.898015812004576	1
PA14_69780	265	155	118	1	0	0	261	337	388	0	1	0	0.888708116315744	0.729597143721037	1
PA14_03040	0	0	0	10	8	6	0	0	0	10	16	7	-0.402833359691718	0.749354623128389	1
PA14_20150,PA14_20170,PA14_20180,PA14_20190,PA14_20200,PA14_20230	3	2	0	0	0	0	0	3	0	0	0	0	-0.293196376344046	0.855695924508359	1
PA14_49730	0	0	0	3	6	2	0	0	0	3	3	0	0.639362533149291	0.666741195743489	1
PA14_65210	100	72	76	24385	9826	26213	74	86	50	15080	16198	3808	0.395626692568852	0.00285501806475197	0.0253216088172862
PA14_28120,PA14_28130	2	0	0	3	1	2	1	0	0	1	0	2	0.219566377257685	0.893631712210747	1
PA14_64320,PA14_64335	9	5	1	0	0	0	1	1	0	0	0	0	-1.82597060022495	0.483989389331301	1
PA14_68010	26	34	21	0	0	0	8	18	20	0	0	0	-0.85036225789549	0.779241828430733	1
PA14_68710,PA14_68720	51	46	37	0	0	0	62	60	4	0	0	0	-0.542481337522522	0.96902371863877	1
PA14_50290	43	43	35	970	708	718	31	44	67	627	797	399	0.649110632585479	0.00038003260433344	0.00420993316940585
PA14_60500	0	0	0	0	0	0	2	8	1	0	0	0	1.34835622016501	0.731521093653088	1
PA14_65150,PA14_65160,PA14_65170,PA14_65180	1500	1232	766	2111	1544	2468	1865	1823	1436	3946	4303	10315	-0.851313369263981	5.18528114491674e-107	1.05446395854128e-104
PA14_38330	39	46	10	0	0	0	26	24	73	0	0	0	0.239369887165016	0.821257677186229	1
PA14_50760	0	0	0	5	2	7	0	0	0	6	4	3	0.00761318410987527	0.995446152017085	1
PA14_58840,PA14_58850	80	53	40	0	0	0	33	38	16	0	0	0	-1.00914786160668	0.671541232321498	1
PA14_71650	542	457	585	1343	1174	1888	720	488	1603	1457	1618	558	1.17454697314481	1.92845684730552e-110	4.22332049559909e-108
PA14_17530	29	15	18	0	0	0	23	22	19	0	0	0	0.0948726933940333	0.937598904616601	1
PA14_30290,PA14_30310	92	86	65	0	0	0	203	173	211	0	0	0	1.26986181137012	0.509477838553879	1
PA14_60970	3	0	1	2	0	2	2	0	0	1	0	0	0.479167836698559	0.766288810494694	1
PA14_07940	32	36	29	0	0	0	15	29	106	0	0	0	0.109566290540151	0.921406010290911	1
PA14_13890	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PA14_14220	0	0	0	11	20	14	0	0	0	10	11	21	0.131055557333294	0.91431204841184	1
PA14_39080	8	3	2	0	0	0	3	4	3	0	0	0	-0.161388319487827	0.906255827837668	1
PA14_10940	2	3	6	0	0	0	1	2	1	0	0	0	-1.32499439793515	0.700203095409511	1
PA14_13410	15	34	17	16	17	13	18	11	38	18	13	22	-0.197121902040403	0.718871177941735	1
PA14_30320	38	33	36	1	5	5	20	31	50	8	3	13	-1.1007084007967	0.0614257819686552	0.344929391054756
PA14_16110	4	1	2	57	50	61	5	3	12	34	26	48	2.11445585201993	0.00161888539648527	0.0153121818066231
PA14_07290,PA14_07300	11	15	1	11	8	9	9	16	4	6	8	64	0.184384315380913	0.930982789791635	1
PA14_68340	3	4	3	2	4	5	0	0	0	0	1	5	-0.865457876621172	0.778092245757918	1
PA14_25900	142	107	53	41	34	127	91	96	490	49	56	45	1.27543164121566	1.60211449718889e-17	7.73088131101148e-16
PA14_41640	4	9	2	40	12	45	4	5	4	31	44	85	-1.01106848792162	0.107533802310644	0.520391647833353
PA14_43510	16	10	1	0	0	0	6	4	11	0	0	0	-0.0843162859334756	0.938996516981362	1
PA14_60570	0	0	0	389	451	307	0	0	0	243	262	1433	-0.146437873534491	0.891071847872451	1
PA14_26160,PA14_26165	8	14	7	0	0	0	6	13	15	0	0	0	0.184489629198853	0.881755386573066	1
PA14_45960	93	66	50	64	43	34	110	142	160	38	36	96	0.828701543901118	0.000125731344033252	0.00156313160027366
PA14_34080	13	5	6	7	4	1	4	3	1	1	0	0	0.45520201166875	0.952279254813877	1
PA14_25520	5	5	7	0	0	0	2	3	10	0	0	0	-0.44154628410133	0.73961513212125	1
PA14_64850	0	0	0	54	46	36	0	0	0	9	3	7	2.84360471961114	0.0421831048000997	0.255521913544434
PA14_59845	39	19	21	657	533	280	20	24	7	199	325	124	0.631493673474576	0.025643114718679	0.171375463859341
PA14_46910	0	1	0	1	0	5	0	1	0	0	2	0	0.472068444315223	0.765848233800638	1
PA14_41240	103	75	95	36	24	25	94	88	153	37	21	42	0.0198708311868914	0.935510238433052	1
PA14_29020	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
PA14_13090	0	0	0	20	12	15	0	0	0	19	14	15	-0.0481798083425652	0.968841134164469	1
PA14sr_060	98	63	150	2094	1494	868	83	70	92	998	1034	477	0.521198072283132	6.99886968187882e-05	0.000953386697813828
PA14sr_061	1	0	0	0	0	0	0	2	1	0	0	0	0.362570079384708	0.843525869092694	1
PA14sr_063	106	85	94	0	0	0	50	48	13	0	0	0	-1.45071236217499	0.409159242355035	1
PA14sr_065	348	370	221	0	0	0	189	174	206	0	0	0	-0.677459806064526	0.87262326953735	1
PA14sr_066	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PA14sr_068	8	8	3	0	0	0	3	3	1	0	0	0	-1.46210575293562	0.571943638333113	1
PA14sr_069	12	7	4	32	28	7	10	7	4	18	15	23	0.247071350874588	0.755413326407558	1
PA14_60480	0	0	0	109	92	148	0	0	0	82	102	27	0.768636718147614	0.807340535304915	1
PA14_70630	63	61	35	0	0	0	15	36	52	0	0	0	-0.662317910874495	0.885388593235226	1
PA14_70740	11	7	0	0	0	0	0	2	0	0	0	0	-1.73230421679634	0.484760644945492	1
PA14_54820	14	19	10	0	0	0	8	12	21	0	0	0	-0.133025418630783	0.911463034696533	1
PA14_05130,PA14_05150,PA14_05160	25	16	35	38	15	14	25	15	47	40	44	86	-1.24892298802786	8.27887670268567e-05	0.00110317884340857
PA14sr_088	63	26	39	0	0	0	24	21	36	0	0	0	-0.581923751745422	0.94617785690217	1
PA14_41870	87	57	33	24	18	5	30	53	31	11	13	9	-0.187202200810406	0.717446729801357	1
PA14_01330	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1
PA14sr_082	0	0	0	15	21	14	0	0	0	5	6	3	1.85567092330706	0.303991190303226	1
PA14_43220	11	14	5	0	0	0	6	7	5	0	0	0	-0.629809516143792	0.953272180200589	1
PA14sr_080	6	5	0	0	0	0	0	0	0	0	0	0	-1.66513284940514	0.570149719369827	1
PA14sr_081	0	0	0	11	14	4	0	0	0	4	7	6	0.612112101858096	0.964923806235478	1
PA14_71900	11	7	6	51	33	49	9	19	3	103	80	103	-0.834773535394367	0.0708564548849267	0.381338992547044
PA14sr_085	8	9	1	104	38	114	3	4	0	75	104	3	-1.36479544953074	0.0230579072701023	0.157047516741582
PA14_00080	13	14	6	0	0	0	10	10	5	0	0	0	-0.37851162325373	0.76660202665754	1
PA14_57240	123	123	110	48	35	28	79	73	47	19	45	42	-0.752003383088326	0.00144209494768488	0.0138704199866853
PA14_64920	14	14	8	12	10	9	3	2	14	1	6	0	0.786127014695574	0.348404812648298	1
PA14_45400,PA14_45410	9	9	4	0	0	0	4	4	0	0	0	0	-1.38941169160335	0.581392834103447	1
PA14_52280,PA14_52290	0	0	0	2	1	6	0	0	0	23	20	9	-2.25820961811661	0.151184901264111	0.668359338352366
PA14_35800,PA14_35810	168	144	96	0	0	0	68	100	51	0	0	0	-0.903804772105269	0.729329882059772	1
PA14_12920	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1
PA14_41880	45	38	38	0	0	0	25	29	63	0	0	0	-0.163493694585389	0.888965659796891	1
PA14_20640,PA14_20650	0	0	0	0	0	0	4	5	4	0	0	0	2.1057946640226	0.391768313448973	1
PA14_12140	4	4	2	2	8	11	2	1	5	4	10	5	-0.190942782711395	0.804647279405011	1
PA14_27755,PA14_27770,PA14_27780	136	122	66	233	145	129	81	87	189	121	139	282	0.063251766144946	0.710610192552582	1
PA14_69440,PA14_69450	83	83	66	35	25	16	58	57	59	9	11	6	1.09671752388022	0.00289734474710785	0.0255378962693995
PA14_26910,PA14_26920,PA14_26930	25	25	3	0	0	0	4	18	4	0	0	0	-0.800356703982026	0.837514148147779	1
PA14_73190	5	4	12	0	0	0	3	9	26	0	0	0	0.539158811108031	0.667618107082125	1
PA14_70910	79	59	47	252	416	310	75	38	21	297	177	60	0.234742882717953	0.220884450648814	0.880753544813969
PA14_52180	70	62	46	37	14	78	59	54	113	37	20	16	1.0809548633831	5.48307145356561e-06	9.23686652562207e-05
PA14_22480	3	4	2	5	11	7	5	0	29	9	3	27	0.847123601788964	0.400444218270344	1
PA14sr_010	5	4	10	5	1	1	2	4	7	0	0	2	-0.232272152063107	0.84010197991503	1
PA14_53900	24	21	4	0	0	0	8	11	0	0	0	0	-1.43327933078133	0.519868809320349	1
PA14_19170	6	4	6	11	11	15	110	151	50	25	45	73	2.10777340860807	5.4424377675983e-07	1.06127536468167e-05
PA14_66290	39	35	14	0	0	0	14	13	33	0	0	0	-0.512566595511011	0.9950547739127	1
PA14_08680	467	378	451	2217	1323	1588	698	421	2639	3491	3081	3660	0.341150288645097	1.11328587972037e-10	3.40809128985365e-09
PA14_01750	19	5	10	0	0	0	9	7	4	0	0	0	-0.621570159861333	0.953890530458248	1
PA14_61220	25	16	10	0	0	0	18	17	2	0	0	0	-0.747612838365715	0.860382857052649	1
PA14_67580	0	0	0	15	6	12	0	0	0	43	35	38	-1.86616182985211	0.258126440725706	0.966955232560638
PA14_04140	4	0	0	1	1	1	7	10	10	1	1	0	2.16992500144231	0.24262799854767	0.929572599847216
PA14_14370,PA14_14380	76	57	150	252	204	168	73	52	209	230	270	457	-0.575856464740036	5.90452836341135e-05	0.000824029031893731
PA14_58660,PA14_58670	63	59	19	129	120	46	30	35	216	79	79	90	0.542698051547306	0.011874327925637	0.088266871029474
PA14_70590,PA14_70600	731	568	718	38	33	93	330	310	796	151	124	215	-1.99340889910916	1.1793290701167e-54	1.59883326791535e-52
PA14_25250	88	77	43	235	146	491	130	112	176	308	261	196	1.05123357259257	8.6026209680357e-16	3.60171498470554e-14
PA14_21280	17	16	15	0	0	0	10	12	32	0	0	0	-0.0283830590078321	0.98099164384702	1
PA14_24650	11	6	5	440	346	648	5	3	4	184	265	52	0.524847702940832	0.377952665722587	1
PA14_16370	0	0	1	0	0	0	2	0	0	0	0	0	0.362570079384708	0.843525869092694	1
PA14_12850	2	0	0	0	0	0	0	0	3	0	0	0	0.218180170049533	0.896416967667313	1
PA14_60320	0	0	0	81	110	39	0	0	0	27	36	159	0.383516857512513	0.705088009484543	1
PA14_67030,PA14_67040,PA14_67050	3	16	10	0	0	0	4	11	11	0	0	0	-0.0196163349198639	0.987877688660802	1
PA14_23420,PA14_23430,PA14_23440,PA14_23450,PA14_23460	1012	850	797	15	19	11	546	548	1188	11	6	5	0.593578133753384	0.133006854991981	0.60490497789484
PA14_19530,PA14_19540,PA14_19560,PA14_19570,PA14_19580	50	46	6	0	0	0	23	31	8	0	0	0	-0.437584938006545	0.716062485439549	1
PA14_73240	350	296	253	87	69	97	669	538	540	144	183	85	0.260482765264627	0.047626002884024	0.281309606246507
PA14_61400	16	12	6	33	12	51	13	17	17	53	68	72	-0.626733832005025	0.118217712789788	0.559654233483147
PA14_55240	30	19	13	0	0	0	7	17	0	0	0	0	-1.59446320971557	0.373817501926178	1
PA14_18750	29	10	13	3	6	1	17	16	31	9	6	12	-1.15842494291466	0.0829832757628554	0.431907470012522
PA14_39440,PA14_39460	268	226	104	248	135	85	96	150	56	124	112	40	-0.299621012061201	0.0543763151846263	0.310239217095453
PA14_69370	17	14	9	213	163	111	8	8	4	89	111	97	-0.250214183601068	0.634262640801851	1
PA14_01900,PA14_01910	0	0	0	0	1	0	0	2	0	0	6	8	-1.54397408927032	0.58688612346972	1
PA14_42740	65	65	20	0	0	0	25	31	13	0	0	0	-1.01661433193452	0.672921372400635	1
PA14_63040,PA14_63050	59	70	51	35	35	33	62	53	185	48	50	53	-0.0218785051813934	0.988404294987731	1
PA14_01110	29	21	20	0	0	0	41	44	16	0	0	0	0.406751044984412	0.731850182710562	1
PA14_35740,PA14_35750	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
PA14_25670	79	40	55	278	158	818	60	48	34	419	365	347	-0.529129641804955	0.00274027035697643	0.0244394877825937
PA14_68955	36	19	7	0	0	0	10	31	9	0	0	0	-0.205584133649894	0.859541413112427	1
PA14_66080	14	15	11	0	0	0	10	14	2	0	0	0	-0.856613781225708	0.797918749589955	1
PA14_56190	311	305	228	0	0	0	102	148	154	0	0	0	-1.05051324823292	0.63386408216359	1
PA14_57580,PA14_57590	459	341	364	135	55	436	659	562	845	722	518	967	-1.02813823954888	2.6190682763863e-34	2.4854957942906e-32
PA14_41110,PA14_41130,PA14_41140,PA14_41150,PA14_41160,PA14_41170	27	36	18	75	76	37	18	16	14	27	46	131	-0.485392452472369	0.121637354137778	0.570513257380979
PA14_53400,PA14_53410	5	5	3	0	0	0	3	5	8	0	0	0	0.215236066752593	0.869961605746938	1
PA14_22020	66	54	23	0	0	0	107	89	156	0	0	0	1.25146237057035	0.510600061098411	1
PA14_03490,PA14_03510,PA14_03520	4	9	6	0	0	0	3	3	1	0	0	0	-1.41286312804451	0.572321502141272	1
PA14_58330	1	2	0	32	27	28	4	10	5	46	24	9	2.57406930912386	0.00120418636818315	0.0118626940837973
PA14_10550,PA14_10560	215	183	134	8	7	7	168	206	121	5	1	4	0.976053536729959	0.103325716726008	0.509302294884048
PA14_63070	77	59	47	11	12	5	36	40	39	10	11	31	-1.43867253794035	0.000275443669275794	0.00316204889688785
PA14_73290	323	311	340	0	0	0	697	529	1947	0	0	0	1.37358104058194	0.441045247233888	1
PA14_21820	7	1	4	18	18	52	0	1	0	32	26	25	-2.07973398702354	0.0338074143201594	0.214843099485477
PA14_57050	71	53	59	0	0	0	56	47	57	0	0	0	-0.188243437493321	0.874491509763817	1
PA14_69970	156	118	120	170	119	350	186	135	85	296	277	211	-0.452466905805523	0.000619672539905628	0.00646229934473012
PA14_27600,PA14_27610	5684	4135	5497	24361	14122	26160	5724	6334	3904	19320	16905	2113	0.892032558186959	0	0
PA14_07040	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PA14_51570	180	130	65	82	52	48	162	157	50	60	56	35	0.205624063354102	0.317779839450281	1
PA14_72820,PA14_72830	32	21	8	112	63	68	7	4	3	66	73	36	-1.64609240934861	0.000192863085098111	0.00228783834697634
PA14_58800	0	0	0	17	16	20	0	0	0	28	14	11	0.103050951274727	0.931671849099723	1
PA14_04320	16	11	6	0	0	0	3	5	11	0	0	0	-0.756605806733196	0.859986966191335	1
PA14_52980	46	31	25	0	0	0	18	14	3	0	0	0	-1.70732661181174	0.320331853759259	1
PA14_06960,PA14_06970	34	24	18	0	0	0	35	43	19	0	0	0	0.3156685539472	0.792497145091566	1
PA14_31680,PA14_31690,PA14_31700,PA14_31720,PA14_31730,PA14_31740,PA14_31750,PA14_31760	188	164	124	0	0	0	102	141	99	0	0	0	-0.469752338338384	0.689049067107774	1
PA14_02010	128	106	79	0	0	0	184	163	178	0	0	0	0.764189324205083	0.817867194490189	1
PA14_56520,PA14_56530	11	3	7	0	0	0	3	5	13	0	0	0	-0.030453796541714	0.980280269255243	1
PA14_05050	26	18	25	0	0	0	16	16	10	0	0	0	-0.712136023929783	0.871470066374482	1
PA14_39690,PA14_39700,PA14_39710,PA14_39720,PA14_39730,PA14_39750	18	22	19	0	0	0	18	11	21	0	0	0	-0.271478472766599	0.822344519834662	1
PA14_28360	16	15	11	0	0	0	11	7	47	0	0	0	0.0966675522703583	0.931647013775844	1
PA14_28670	123	119	167	0	0	0	118	67	117	0	0	0	-0.461816141752318	0.694076986736187	1
PA14_31110,PA14_31130	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1
PA14_43230	0	0	0	7	1	4	0	0	0	1	1	2	1.27301849440642	0.728872447837829	1
PA14_67975,PA14_67990	31	29	20	0	0	0	102	143	64	0	0	0	1.88430940732582	0.23472429007982	0.916680457966046
PA14_54590	13	10	10	0	0	0	10	4	3	0	0	0	-1.09178278816845	0.678011516997142	1
PA14_01670,PA14_01680,PA14_01690	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1
PA14_27830	0	0	0	0	0	0	0	0	0	0	1	3	-0.584962500721156	0.741634031648461	1
PA14_23510	4	2	15	0	0	0	7	6	15	0	0	0	0.71895311532125	0.908377335362215	1
PA14_28760	8	6	5	0	0	0	1	3	5	0	0	0	-1.11439937273709	0.701465219830988	1
PA14_48700	3	4	0	0	0	0	44	83	27	0	0	0	4.29083409329327	0.000605190240500153	0.00635784728673039
PA14_44280	0	0	0	0	0	0	2	1	0	0	0	0	0.362570079384708	0.843525869092694	1
PA14_57990,PA14_58000,PA14_58010,PA14_58030,PA14_58040	18	12	4	0	0	0	6	7	16	0	0	0	-0.162714619146088	0.886186802354137	1
PA14_20890	5	2	2	0	0	0	0	8	11	0	0	0	0.721283971933936	0.918685478074729	1
PA14_57930	0	0	0	1254	863	508	0	0	0	390	356	156	1.5486971657143	0.363277313066333	1
