Gene	PL_Un1_IN	PL_Un2_IN	PL_Un3_IN	PL_Un1_FL	PL_Un2_FL	PL_Un3_FL	PL_Az1_IN	PL_Az2_IN	PL_Az3_IN	PL_Az1_FL	PL_Az2_FL	PL_Az3_FL	PL_log2OR	PL_rawpval	PL_Padj
PA14_54260,PA14_54270	15	3	1	0	0	0	10	20	49	0	0	0	1.60443167764599	0.303081627888755	1
PA14_43480,PA14_43490	4	10	3	0	0	0	5	10	88	0	0	0	1.12539268628502	0.614327190869794	1
PA14_32780,PA14_32790	366	242	229	117	73	245	207	222	192	87	97	133	-0.00647281060131611	0.998521950385558	1
PA14_03470	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PA14_65760,PA14_65770,PA14_65795,PA14_65810	117	101	51	36	35	24	40	69	46	29	26	25	-0.530183360080741	0.0538563279251232	0.308019586399862
PA14_46470	33	36	22	31	23	16	17	11	5	33	25	14	-1.49130280148034	0.000128231851013208	0.00158041593001993
PA14sr_058	0	0	0	13	9	9	0	0	0	8	6	3	0.925074424463182	0.776128258772499	1
PA14_30420	3	5	1	577739	261706	418836	4	9	1	430086	348607	86277	0.696843175988549	0.35051588811483	1
PA14_34960	27	25	15	0	0	0	15	14	7	0	0	0	-0.924219412110937	0.745440601081001	1
PA14sr_057	469	360	326	56	47	36	240	190	503	21	26	49	0.186470154209872	0.412031656203428	1
PA14sr_053	62	46	14	0	0	0	13	22	3	0	0	0	-1.77854312457108	0.299999392780892	1
PA14_60760,PA14_60770,PA14_60780,PA14_60790	85	68	51	0	0	0	26	24	33	0	0	0	-1.25104100584322	0.526391516579813	1
PA14_43520,PA14_43530	2	1	0	28	21	27	2	0	5	21	26	4	1.84283553567415	0.0371489497389181	0.231936534883114
PA14_65190,PA14_65200	343	263	258	13	7	18	146	167	67	22	27	5	-1.79818086592216	5.29860174991536e-08	1.18780466000071e-06
PA14_54850	6	2	6	1	2	1	5	3	3	3	3	5	-1.7454271729144	0.162716141257807	0.708337697493848
PA14_70750	0	0	0	12	14	13	1	8	1	13	12	10	1.76612141644309	0.132995632091604	0.60490497789484
PA14_46290	0	0	0	1	3	0	0	0	0	1	0	4	-0.146220740851044	0.925200245132302	1
PA14_62630	14	10	10	0	0	0	4	4	0	0	0	0	-1.99075615575638	0.284616796753815	1
PA14_66420	30	14	13	0	0	0	28	33	63	0	0	0	1.03225588414306	0.650750853835852	1
PA14_05880,PA14_05890	11	10	7	47	43	14	3	3	3	24	30	0	-0.506546927622326	0.532301763138497	1
PA14_20560,PA14_20570,PA14_20580,PA14_20590	0	0	0	29	22	18	0	0	0	12	31	26	0.058043464683064	0.960521788838152	1
PA14_29575	0	0	0	24	25	17	0	0	0	12	8	22	0.703689439291908	0.874341073145801	1
PA14_57770,PA14_57780	26	14	22	0	0	0	34	44	3	0	0	0	-0.0753426608349061	0.943110958791815	1
PA14_69170	39	22	18	0	0	0	27	9	19	0	0	0	-0.556660054250406	0.96952191099935	1
